date,population,admission,release
2020-03-01,110381.23466667665,2320.4259010011956,1946.9482049263875
2020-03-02,110563.80210634123,2127.8489779242727,3692.413554891739
2020-03-03,109912.9308765671,3043.488271063565,3469.7089478456674
2020-03-04,109546.29345987434,3092.898454229846,2835.102448409371
2020-03-05,109535.02146587589,2823.378073458523,3625.2808797819202
2020-03-06,109284.1399480679,3375.8128073520807,3401.075207513012
2020-03-07,109527.1023845083,3646.1793106200544,1584.6154432032486
2020-03-08,110079.02469749184,2136.012756186834,1787.0085883645393
2020-03-09,110221.37140563672,1939.6637642513497,3707.350389439807
2020-03-10,109647.9181137816,3137.630430918016,3284.685121374539
2020-03-11,109512.01433907599,3147.4287825663678,3676.2964324772292
2020-03-12,108995.04406190732,3162.0071897913267,3290.000543883065
2020-03-13,108650.84159100647,2948.3980729822106,3352.9338772163983
2020-03-14,108123.06504603155,2824.6573322414697,1651.3800310625534
2020-03-15,108948.2423472105,1972.9024790707701,1811.756031401373
2020-03-16,108604.54455648901,1468.0582406799097,4256.466176328909
2020-03-17,106445.41922953566,2099.755704448026,3823.246248792677
2020-03-18,104437.228685191,1815.0557044480258,3560.638787626392
2020-03-19,102456.60052943815,1581.957410585026,3356.0379472902573
2020-03-20,100541.63904035198,1441.0764582040738,3027.5227957751063
2020-03-21,98801.0108845991,1286.8946400222553,1081.8616846639957
2020-03-22,98660.69990056344,940.6507006283159,1060.3055349313754
2020-03-23,98397.75790048498,796.8635348529148,2898.412184026262
2020-03-24,96589.00908222469,1092.5964893983694,2836.1661409919807
2020-03-25,94930.03466872632,1177.1917274936075,2350.897825973666
2020-03-26,93592.96043837814,1014.3235956254757,2262.3343339101743
2020-03-27,92447.09255723629,1117.395024196904,2182.096238672079
2020-03-28,91294.89134276111,1030.8116908635707,740.175531601372
2020-03-29,91468.53861313444,917.5116908635707,802.906844732685
2020-03-30,91429.15255017442,763.854115105995,1952.4624002882404
2020-03-31,90439.16648721437,964.7541151059951,1958.4092601916223
2020-04-01,89483.03519478579,1004.4712044779759,2072.3386080177092
2020-04-02,88433.12612457937,1024.9295378113093,1860.2790842081854
2020-04-03,87721.75078453169,1030.4166409859122,1780.9167285083297
2020-04-04,86843.64817175675,905.3989642182355,761.6126881042893
2020-04-05,86815.76778120403,733.7322975515688,714.5793547709559
2020-04-06,86827.95405731797,726.7656308849022,1693.8501881042891
2020-04-07,86068.55700009859,936.8906308849022,1580.754859821461
2020-04-08,85521.69277116204,1024.0581341024056,1625.5783532484884
2020-04-09,84890.44626300364,985.8865273291752,1735.3416209840939
2020-04-10,84183.78870483262,1210.1840628130635,1197.649440941914
2020-04-11,84106.96984685029,1122.5639162929167,605.5890032314762
2020-04-12,84386.23230199928,882.8514583804589,639.5632456557187
2020-04-13,84501.46445411796,755.1531213516341,1585.6908324997685
2020-04-14,83839.46253380498,921.9048212777242,1498.156741590678
2020-04-15,83369.5863710678,1026.138912186815,1468.028480721113
2020-04-16,82912.99825180888,1012.7736947955108,1581.5139508065827
2020-04-17,82393.99741887473,1063.3464512057672,1462.7222841399162
2020-04-18,82014.39936371836,1081.5825623168782,709.3736730288052
2020-04-19,82251.90964189533,945.1339512057674,718.2903396954719
2020-04-20,82356.66992007227,818.8839512057674,1575.1873795925117
2020-04-21,81954.92627289533,1175.4438536906696,1451.1933381675879
2020-04-22,81690.48533452915,1186.4190664680882,1440.574218398468
2020-04-23,81462.98054334913,1135.9763727431805,1436.4519961762455
2020-04-24,81190.48022547358,1147.6845550130288,1437.7879610885266
2020-04-25,81094.03560935243,1340.6766783007001,715.843623481689
2020-04-26,81430.84558724838,1053.3202680442903,898.6360477241133
2020-04-27,81489.31768635641,958.04223774126,1647.6334503215164
2020-04-28,81050.96460508928,1211.2470357210577,1504.1494787375445
2020-04-29,80827.49934155999,1249.8828881200247,1679.6361116186122
2020-04-30,80370.8397912155,1227.843520338444,1586.056642111511
2020-05-01,80059.81000277576,1275.88399652892,1438.22893021767
2020-05-02,79887.67765399316,1266.2581198965918,818.5417507304902
2020-05-03,80215.81111717633,1145.8418805803526,758.730485908356
2020-05-04,80522.5289677113,1065.4483364433304,1694.7582026360728
2020-05-05,80008.0690404685,1303.2451618401556,1483.8370335274037
2020-05-06,79888.27577989237,1364.0437729512664,1395.765604955975
2020-05-07,79915.3136881474,1421.3035132110067,1460.1394866298565
2020-05-08,79920.28729265064,1461.8476408225256,1515.1583430150174
2020-05-09,79746.72825383098,1346.278791374872,757.5044968611713
2020-05-10,80137.50254834471,1148.6954580415388,774.5635877702623
2020-05-11,80437.42229740384,1072.6976225437033,2097.392693386868
2020-05-12,80000.06948846545,1657.6937306023112,1520.8150488092235
2020-05-13,79910.69475700513,1431.440317348898,1568.7892551584298
2020-05-14,79920.6811366559,1580.1506348092157,1566.4622349564097
2020-05-15,79917.57660721579,1563.3577055162862,1472.96223495641
2020-05-16,80132.40389595747,1685.3895236981045,870.5661310603057
2020-05-17,80616.86754833555,1354.9876588962397,943.6137501079247
2020-05-18,80838.33120071361,1163.1826656438782,1911.058194552369
2020-05-19,80467.6004086472,1543.2281961367771,1651.1137501079247
2020-05-20,80552.11961658082,1733.382958041539,1754.559962229137
2020-05-21,82692.6557076313,1673.902374285194,1766.896626953302
2020-05-22,82647.50429729433,1724.8285499496308,1693.3145756712504
2020-05-23,82785.25343640787,1832.7296488507295,952.3558344125089
2020-05-24,83351.41015127898,1520.8125492836298,1007.1622446689192
2020-05-25,83681.58823367147,1338.0903270614078,947.2789113355858
2020-05-26,84068.2377446354,1334.5950889661697,2069.5705780022527
2020-05-27,83790.70543741749,1754.549473245554,1692.6152726594476
2020-05-28,83805.42454248018,1732.526685414433,1972.3932030623778
2020-05-29,83676.57365087286,1843.3994543122017,1906.536060205235
2020-05-30,83577.41323545601,1808.2089781217255,968.7193935385679
2020-05-31,84079.55282003916,1470.8589781217256,1080.2670125861873
2020-06-01,84359.95430938421,1360.0018352645827,2131.3143810072397
2020-06-02,83786.90843030823,1558.2796130423603,1798.6802900981488
2020-06-03,83622.16053103021,1641.272163547411,2063.821686202045
2020-06-04,83416.70419019378,1877.6407542160014,1660.7336908640498
2020-06-05,83468.47199213147,1714.819674619922,1882.4328250631838
2020-06-06,83620.04931787869,2034.1768174770648,925.7043868347454
2020-06-07,84138.27699327625,1443.9320622323094,955.1567677871265
2020-06-08,86658.9927639119,1322.44512371779,2174.8511829532813
2020-06-09,86443.56609566598,1887.9039043264663,2523.926304694285
2020-06-10,87240.30778194137,2424.1364014270107,2072.1857832055953
2020-06-11,87256.97540424003,2088.3098157606555,2188.9421934620054
2020-06-12,87247.90969320534,2179.876482427322,1967.6061053077353
2020-06-13,87140.62221908527,1857.1873180563398,937.2929739946045
2020-06-14,87790.05898738944,1587.629742298764,905.2485295501601
